edge_path,edge_path_counts,normalized_edge_path
"('frontpage', 'frontpage')",627288,0.1334997874
"('weather', 'weather')",343783,0.0731640927
"('news', 'news')",277101,0.0589727917
"('sports', 'sports')",276742,0.0588963892
"('local', 'local')",264498,0.0562906141
"('misc', 'misc')",225101,0.0479061223
"('on-air', 'on-air')",197827,0.0421016542
"('business', 'business')",152716,0.0325011056
"('msn-sports', 'msn-sports')",139177,0.029619728
"('on-air', nan)",134883,0.0287058764
"('opinion', 'opinion')",126422,0.0269052016
"('sports', nan)",114062,0.0242747394
"('frontpage', nan)",109735,0.0233538648
"('msn-news', 'msn-news')",106422,0.0226487903
"('business', nan)",94483,0.0201079256
"('tech', 'tech')",85531,0.0182027559
"('health', 'health')",81154,0.0172712402
"('frontpage', 'news')",74704,0.0158985476
"('news', nan)",74230,0.0157976706
"('weather', nan)",74215,0.0157944783
"('tech', nan)",67943,0.0144596677
"('msn-news', nan)",64798,0.0137903471
"('msn-sports', nan)",58665,0.0124851185
"('local', nan)",48256,0.0102698692
"('living', 'living')",39220,0.0083468226
"('living', nan)",35383,0.0075302301
"('misc', nan)",33365,0.0071007582
"('on-air', 'misc')",33283,0.0070833069
"('health', nan)",31028,0.0066033965
"('summary', nan)",28379,0.0060396349
"('summary', 'summary')",27376,0.0058261758
"('news', 'tech')",25292,0.0053826578
"('bbs', 'bbs')",23167,0.0049304141
"('news', 'local')",21774,0.004633955
"('frontpage', 'local')",20314,0.004323237
"('local', 'on-air')",19358,0.0041197805
"('frontpage', 'on-air')",19030,0.0040499754
"('frontpage', 'tech')",18661,0.0039714446
"('local', 'misc')",18309,0.0038965317
"('msn-sports', 'sports')",18013,0.0038335369
"('frontpage', 'business')",14682,0.0031246316
"('tech', 'local')",13962,0.0029714007
"('frontpage', 'sports')",13627,0.0029001059
"('news', 'on-air')",12885,0.002742193
"('travel', nan)",11006,0.0023423032
"('business', 'sports')",10801,0.0022986749
"('misc', 'msn-news')",10707,0.0022786698
"('frontpage', 'living')",10625,0.0022612185
"('living', 'business')",10479,0.0022301467
"('tech', 'on-air')",10461,0.0022263159
"('on-air', 'msn-news')",10197,0.0021701313
"('frontpage', 'misc')",10156,0.0021614057
"('local', 'msn-news')",8586,0.0018272774
"('misc', 'weather')",8537,0.0018168492
"('on-air', 'health')",8472,0.0018030158
"('msn-news', 'business')",8336,0.0017740722
"('weather', 'msn-news')",7904,0.0016821338
"('opinion', nan)",7377,0.0015699773
"('opinion', 'on-air')",7329,0.0015597619
"('health', 'living')",7166,0.0015250722
"('on-air', 'weather')",7139,0.001519326
"('misc', 'msn-sports')",6963,0.0014818696
"('news', 'business')",6930,0.0014748465
"('msn-news', 'msn-sports')",6904,0.0014693132
"('frontpage', 'health')",6653,0.0014158952
"('health', 'business')",6289,0.0013384285
"('travel', 'travel')",5966,0.0012696875
"('misc', 'health')",5712,0.0012156311
"('living', 'sports')",5585,0.0011886029
"('on-air', 'living')",5553,0.0011817926
"('on-air', 'summary')",5532,0.0011773234
"('tech', 'business')",5424,0.0011543388
"('news', 'sports')",5240,0.0011151798
"('news', 'weather')",5134,0.0010926208
"('on-air', 'business')",5123,0.0010902798
"('local', 'opinion')",5111,0.0010877259
"('tech', 'msn-news')",4936,0.0010504823
"('news', 'health')",4920,0.0010470772
"('frontpage', 'opinion')",4869,0.0010362233
"('news', 'living')",4638,0.0009870618
"('news', 'misc')",4550,0.0009683336
"('news', 'opinion')",4426,0.0009419438
"('misc', 'business')",4412,0.0009389643
"('local', 'business')",4391,0.0009344951
"('local', 'weather')",4274,0.0009095951
"('frontpage', 'weather')",4205,0.0008949105
"('misc', 'sports')",4155,0.0008842695
"('local', 'living')",4004,0.0008521335
"('tech', 'health')",3972,0.0008453233
"('msn-news', 'living')",3759,0.0007999925
"('local', 'sports')",3609,0.0007680694
"('on-air', 'sports')",3596,0.0007653028
"('misc', 'living')",3578,0.000761472
"('tech', 'opinion')",3539,0.000753172
"('msn-news', 'health')",3527,0.0007506181
"('tech', 'living')",3187,0.0006782591
"('local', 'health')",3176,0.0006759181
"('sports', 'summary')",3061,0.0006514438
"('weather', 'msn-sports')",3045,0.0006480386
"('news', 'msn-news')",2994,0.0006371848
"('on-air', 'msn-sports')",2866,0.0006099437
"('weather', 'health')",2764,0.000588236
"('health', 'summary')",2727,0.0005803617
"('tech', 'sports')",2609,0.0005552489
"('living', 'summary')",2593,0.0005518437
"('misc', 'summary')",2583,0.0005497155
"('business', 'msn-sports')",2571,0.0005471617
"('weather', 'sports')",2540,0.0005405642
"('frontpage', 'msn-news')",2528,0.0005380104
"('living', 'travel')",2500,0.0005320514
"('business', 'summary')",2431,0.0005173668
"('health', 'sports')",2422,0.0005154514
"('weather', 'business')",2381,0.0005067258
"('opinion', 'msn-news')",2211,0.0004705463
"('msn-news', 'sports')",2143,0.0004560745
"('tech', 'weather')",2047,0.0004356437
"('bbs', nan)",2010,0.0004277693
"('opinion', 'living')",1914,0.0004073386
"('weather', 'living')",1874,0.0003988257
"('local', 'msn-sports')",1815,0.0003862693
"('tech', 'misc')",1814,0.0003860565
"('business', 'travel')",1790,0.0003809488
"('sports', 'travel')",1565,0.0003330642
"('opinion', 'misc')",1440,0.0003064616
"('news', 'summary')",1400,0.0002979488
"('frontpage', 'msn-sports')",1250,0.0002660257
"('opinion', 'health')",1143,0.0002432539
"('tech', 'summary')",1051,0.0002236744
"('opinion', 'business')",1012,0.0002153744
"('living', 'msn-sports')",972,0.0002068616
"('frontpage', 'summary')",952,0.0002026052
"('frontpage', 'travel')",919,0.0001955821
"('opinion', 'weather')",906,0.0001928154
"('weather', 'summary')",713,0.0001517411
"('opinion', 'sports')",704,0.0001498257
"('tech', 'msn-sports')",628,0.0001336513
"('opinion', 'summary')",612,0.0001302462
"('msn-news', 'summary')",599,0.0001274795
"('summary', 'travel')",587,0.0001249257
"('local', 'summary')",523,0.0001113052
"('news', 'travel')",494,0.0001051334
"('sports', 'bbs')",450,9.57693e-05
"('health', 'travel')",444,9.44923e-05
"('health', 'msn-sports')",443,9.42795e-05
"('misc', 'travel')",422,8.98103e-05
"('tech', 'travel')",346,7.36359e-05
"('news', 'msn-sports')",322,6.85282e-05
"('local', 'travel')",279,5.93769e-05
"('frontpage', 'bbs')",271,5.76744e-05
"('on-air', 'travel')",240,5.10769e-05
"('summary', 'bbs')",234,4.98e-05
"('msn-sports', 'summary')",227,4.83103e-05
"('on-air', 'bbs')",217,4.61821e-05
"('weather', 'travel')",147,3.12846e-05
"('opinion', 'msn-sports')",128,2.7241e-05
"('opinion', 'travel')",110,2.34103e-05
"('business', 'bbs')",107,2.27718e-05
"('opinion', 'bbs')",101,2.14949e-05
"('msn-news', 'travel')",95,2.0218e-05
"('health', 'bbs')",87,1.85154e-05
"('living', 'bbs')",85,1.80897e-05
"('misc', 'bbs')",80,1.70256e-05
"('bbs', 'travel')",72,1.53231e-05
"('news', 'bbs')",57,1.21308e-05
"('weather', 'bbs')",32,6.8103e-06
"('msn-news', 'bbs')",31,6.5974e-06
"('tech', 'bbs')",29,6.1718e-06
"('local', 'bbs')",28,5.959e-06
"('msn-sports', 'travel')",27,5.7462e-06
"('msn-sports', 'bbs')",16,3.4051e-06
